DATABASE;Antibiotic.Class;GENE;ACCESSION;Standard.Gene.Name;Antibiotic.Gene.Family;Disinfecting.Agent;Metal.resistance;Mechanism
ARG-ANNOT;tetracycline;(Tet)tetS;L09756:447-2372;tet(S);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tetT;L42544:478-2433;tet(T);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tetW;AJ222769:3687-5606;tet(W);tetracycline-resistant ribosomal protection protein;;;antibiotic target protection
ARG-ANNOT;tetracycline;(Tet)tetX;M37699:586-1752;tet(X);tetracycline inactivation enzyme;;;antibiotic inactivation
ARG-ANNOT;tetracycline;(Tet)tetY;AF070999:1680-2855;tet(Y);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic inactivation
ARG-ANNOT;tetracycline;(Tet)tetZ;AF121000:11880-13034;tet(Z);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;aminocoumarin;mdtB;U00096.1:2155262-2158385;mdtB;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;metal;antibiotic efflux
CARD;aminocoumarin;mdtC;U00096.1:2158385-2161463;mdtC;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;metal;antibiotic efflux
CARD;aminoglycoside;AAC(3)-IIa;X13543.1:185-1046;AAC(3)-Iia;AAC(3);;;antibiotic inactivation
CARD;aminoglycoside;AAC(3)-IIe;EU022315.1:0-861;AAC(3)-Iie;AAC(3);;;antibiotic inactivation
CARD;aminoglycoside;AAC(3)-IVa;DQ241380.1:0-777;AAC(3)-Iva;AAC(3);;;antibiotic inactivation
CARD;aminoglycoside;AAC(6')-Iad;AB119105.1:0-435;AAC(6')-Iad;AAC(6');;;antibiotic inactivation
CARD;aminoglycoside;AAC(6')-Ib4;AF445082.1:2788-3343;AAC(6')-Ib4;AAC(6');;;antibiotic inactivation
CARD;aminoglycoside;AAC(6')-Ie-APH(2'')-Ia_bifunctiol_protein;GU565967.1:26419-24979;AAC6_Ie_APH2_Ia;aminoglycoside bifunctional resistance protein;;;antibiotic inactivation
CARD;aminoglycoside;AAC(6')-Ie-APH(2'')-Ia_bifunctional_protein;GU565967.1:26419-24979;AAC6_Ie_APH2_Ia;aminoglycoside bifunctional resistance protein;;;antibiotic inactivation
CARD;aminoglycoside;AAC(6')-Iid;AJ584700.2:33-582;AAC(6')-Iid;AAC(6');;;antibiotic inactivation
CARD;aminoglycoside;AAC(6')-Im;AF337947.1:1214-1751;AAC(6')-Im;AAC(6');;;antibiotic inactivation
CARD;aminoglycoside;aad(6);AY712687.1:0-831;aad(6);ANT(6);;;antibiotic inactivation
CARD;aminoglycoside;aadA;AF550679.1:81768-80976;aadA;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA11;AY758206.1:2743-3589;aadA11;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA13;EU746499.1:639-1437;aadA13;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA14;AJ884726.1:1325-539;aadA14;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA2;AF156486.1:5012-5792;aadA2;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA22;AM261837.1:73-865;aadA22;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA27;LN873256.1:4027-3238;aadA27;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA5;AF137361.1:63-852;aadA5;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA7;AB114632.1:655-1453;aadA7;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadA9;DQ390458.1:3995-3095;aadA9;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;aadS;M72415.1:1120-1984;aadS;ANT(6);;;antibiotic inactivation
CARD;aminoglycoside;ANT(2'')-Ia;AF078527.1:3769-4303;ANT(2'')-Ia;ANT(2'');;;antibiotic inactivation
CARD;aminoglycoside;ANT(3'')-IIa;GG704579.1:35369-34580;ANT(3'')-IIa;ANT(3'');;;antibiotic inactivation
CARD;aminoglycoside;ANT(4')-Ia;K02551.1:240-1002;ANT(4')-Ia;ANT(4');;;antibiotic inactivation
CARD;aminoglycoside;ANT(6)-Ia;KF648874.1:61860-60996;ANT(6)-Ia;ANT(6);;;antibiotic inactivation
CARD;aminoglycoside;ANT(6)-Ib;FN594949.1:27481-28339;ANT(6)-Ib;ANT(6);;;antibiotic inactivation
CARD;aminoglycoside;ANT(9)-Ia;X02588.1:330-1113;ANT(9)-Ia;ANT(9);;;antibiotic inactivation
CARD;aminoglycoside;ANT(9)-Ib;M69221.1:270-1038;ANT(9)-Ib;ANT(9);;;antibiotic inactivation
CARD;aminoglycoside;APH(2'')-If;AY701528.1:9695-10589;APH(2'')-If;"APH(2"")";;;antibiotic inactivation
CARD;aminoglycoside;APH(2'')-IIIa;U51479.1:0-921;APH(2'')-IIIa;APH(2'');;;antibiotic inactivation
CARD;aminoglycoside;APH(3'')-Ib;AF313472.2:15593-16397;APH(3'')-Ib;APH(3'');;;antibiotic inactivation
CARD;aminoglycoside;APH(3')-Ia;BX664015.1:103833-103017;APH(3')-Ia;APH(3');;;antibiotic inactivation
CARD;aminoglycoside;APH(3')-IIa;V00618.1:150-945;APH(3')-IIa;APH(3');;;antibiotic inactivation
CARD;aminoglycoside;APH(3')-IIIa;CP004067.1:52914-53709;APH(3')-IIIa;APH(3');;;antibiotic inactivation
CARD;aminoglycoside;APH(3')-IXa;APPN01000061.1:80497-81298;APH(3')-IXa;APH(3');;;antibiotic inactivation
CARD;aminoglycoside;APH(3')-VIa;X07753.1:102-882;APH(3')-Via;APH(3');;;antibiotic inactivation
CARD;aminoglycoside;APH(4)-Ia;V01499.1:230-1256;APH(4)-Ia;APH(4);;;antibiotic inactivation
CARD;aminoglycoside;APH(6)-Id;AF024602.1:3155-3992;APH(6)-Id;APH(6);;;antibiotic inactivation
CARD;aminoglycoside;kdpE;U00096.3:721733-721055;kdpE;kdpDE;;;antibiotic efflux
CARD;aminoglycoside;mdtA;U00096.1:2154015-2155263;mdtA;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;metal;antibiotic efflux
CARD;aminoglycoside;rmtF;JQ808129.1:1598-2378;rmtF;16S rRNA methyltransferase (G1405);;;antibiotic target alteration
CARD;beta-lactam;ACI-1;AJ007350.1:239-1094;ACI-1;ACI beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;ARL-1;KY363215.1:79488-80337;ARL-1;ARL Beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CARB-16;HF953351.1:3358-2461;CARB-16;CARB beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CARB-5;AF135373.1:11-908;"	CARB-5";CARB beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CARB-8;AY178993.1:574-1471;CARB-8;CARB beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CBP-1;KP718480.1:0-927;CBP-1;CBP beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CepA-29;NG_050385.1:100-1003;CepA-29;CepA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CepA-49;NG_050387.1:100-1003;CepA-49;CepA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CfiA27;NG_071228.1:0-750;CfiA27;CfiA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CfxA;U38243.1:149-1115;"	CfxA";CfxA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;CfxA2;AF118110.1:1037-71;CfxA2;"class A beta-la	CfxA beta-lactamasectamase";;;antibiotic inactivation
CARD;beta-lactam;CfxA6;GQ342996.1:797-1793;CfxA6;CfxA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EBR-2;KR131616.1:0-708;EBR-2;EBR beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EBR-3;NG_066507.1:0-708;EBR-3;EBR beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EBR-4;NG_073461.1:0-708;EBR-4;EBR beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EBR-5;CP104209.1:787487-786782;EBR-5;EBR beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EC-13;NG_049079.1:100-1234;EC-13;EC beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EC-15;NG_049081.1:100-1234;EC-15;EC beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EC-18;NG_049083.1:100-1234;EC-18;EC beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;EC-8;NG_049086.1:100-1234;EC-8;EC beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;Escherichia_coli_ampC_beta-lactamase;U00096.3:4378944-4377810;Ecol_ampC_BLA;ampC-type beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;GIL-1;NG_049142.1:100-961;GIL-1;GIL beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;IMP-13;AJ550807.1:2242-2983;IMP-13;IMP beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;Klebsiella_pneumoniae_OmpK37;AJ011502.1:300-1425;"	Kpne_OmpK37";General Bacterial Porin with reduced permeability to beta-lactams;;;"	reduced permeability to antibiotic"
CARD;beta-lactam;mecC-type_BlaZ;FR823292.1:1647-795;mecC-type_BlaZ;BlaZ beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;mecI;BA000018.3:48893-49265;mecI;methicillin resistant PBP2;;;antibiotic target replacement
CARD;beta-lactam;MOX-25;LC733695.1:0-1152;MOX-25;MOX beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;MOX-9;KJ746495.1:1420-2572;MOX-9;MOX beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;MUS-1;AF441286.1:224-965;MUS-1;MUS beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;MUS-2;KP658209.1:0-741;MUS-2;MUS beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OCH-7;AJ295345.1:0-1173;OCH-7;OCH beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1;JN420336.1:2230-1399;"	OXA-1";OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1005;MZ265758.1:0-831;OXA-1005;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1041;OK576522.1:0-795;OXA-1041;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1156;LC732550.1:0-795;OXA-1156;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1160;LC733698.1:0-795;OXA-1160;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1258;CP121303.1:2453187-2452347;OXA-1258;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1259;JAXHPQ010000007.1:11318-10478;OXA-1259;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1260;JAXHPO010000090.1:1649-809;OXA-1260;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-1263;JAXHPD010000006.1:108551-109391;OXA-1263;VIM beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-2;X07260.1:700-1528;OXA-2;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-20;CP000863.1:251961-252762;OXA-20;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-296;APOH01000009.1:221443-220588;OXA-296;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-299;APQD01000016.1:31095-31929;OXA-299;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-347;JN086160.1:2407-1582;OXA-347;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-362;KF460532.1:0-831;OXA-362;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-363;KF460533.1:0-831;OXA-363;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-58;CP000864.1:13383-14226;OXA-58;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-609;NG_057518.1:0-774;OXA-609;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-646;NG_065432.1:0-840;OXA-646;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-648;NG_065434.1:0-840;OXA-648;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-85;AY227054.1:0-765;OXA-85;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-917;NG_070181.1:0-795;OXA-917;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-981;MZ265733.1:0-840;OXA-981;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;OXA-999;MZ265751.1:0-840;OXA-999;OXA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;PER-2;X93314.1:0-927;PER-2;PER beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;PME-1;NG_049973.1:100-1030;PME-1;PME beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;RATA-1;CP121209.1:1982452-1983367;RATA-1;RATA beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;ROB-1;X52872.1:220-1138;ROB-1;ROB beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;ROB-12;MW735842.1:0-933;ROB-12;ROB beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;TEM-1;AL513383.1:161910-162771;TEM-1;TEM beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;TEM-150;AM183304.1:208-1069;TEM-150;TEM beta-lactamase;;;antibiotic inactivation
CARD;beta-lactam;TUS-1;AF441287.1:260-1007;TUS-1;TUS beta-lactamase;;;antibiotic inactivation
CARD;broad-spectrum efflux pump;aadT;KT852971.1:29104-30619;aadT;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;acrB;U00096.3:484403-481253;acrB;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;acrD;AP009048.1:2586250-2589364;acrD;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;metal;antibiotic efflux
CARD;broad-spectrum efflux pump;AcrE;U00096.1:3413863-3415021;AcrE;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;AcrF;U00096.1:3415032-3418137;AcrF;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;AcrS;U00096.1:3413465-3412802;AcrS;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;cpxA;BA000007.3:4905062-4903688;cpxA;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;CRP;AP009048.1:4154296-4153663;CRP;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;Escherichia_coli_acrA;U00096.3:485619-484425;Ecol_acrA;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;Escherichia_coli_mdfA;JQ394987.1:0-1233;Ecol_mdfA;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;evgA;BA000007.3:3212025-3212640;evgA;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;evgS;U00096.1:2484373-2487967;evgS;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;gadW;CP015085.1:2552440-2551711;gadW;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;gadX;AP009048.1:3974604-3975429;gadX;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;H-NS;BA000007.3:1738104-1737690;H-NS;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;Klebsiella_pneumoniae_KpnE;AP006725.1:2483889-2484252;Kpne_KpnE;small multidrug resistance (SMR) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;Klebsiella_pneumoniae_KpnF;AP006725.1:2484238-2484568;Kpne_KpnF;small multidrug resistance (SMR) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;Klebsiella_pneumoniae_KpnH;ASTU01000063.1:61248-62787;"	Kpne_KpnH";major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;marA;AP009048.1:1621287-1621671;marA;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;mdtE;AP009048.1:3981183-3980025;mdtE;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;mdtF;U00096.1:3660413-3663527;mdtF;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;mdtM;U00096.3:4568519-4567286;mdtM;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;mef(C);AB571865.1:145536-144312;mef(C);major facilitator superfamily (MFS) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;oqxA;EU370913.1:46651-47827;oqxA;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;oqxB;EU370913.1:47850-51003;oqxB;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;Pseudomonas_aeruginosa_CpxR;LT673656.1:1885022-1884344;Paer_CpxR;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;Pseudomos_aeruginosa_CpxR;LT673656.1:1885022-1884344;Paer_CpxR;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;qacEdelta1;U49101.1:1490-1838;qacEdelta1;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;qacG;NG_051904.1:100-424;qacG;small multidrug resistance (SMR) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;qacH;Y16945.1:1861-2185;qacH;small multidrug resistance (SMR) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;qacJ;AJ512814.1:1427-1751;qacJ;small multidrug resistance (SMR) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;qacL;DQ149925.1:188-521;qacL;small multidrug resistance (SMR) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;ramA;JQ727668.1:0-375;ramA;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;rsmA;AF061757.1:834-1020;rsmA;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;smeD;AJ252200.1:81-1266;smeD;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;smeE;AJ252200.1:1278-4401;smeE;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;broad-spectrum efflux pump;TolC;FJ768952.1:0-1488;TolC;resistance-nodulation-cell division (RND) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;broad-spectrum efflux pump;YajC;VAOQ01003483.1:0-339;YajC;resistance-nodulation-cell division (RND) antibiotic efflux pump;;;antibiotic efflux
CARD;fluoroquinolone;emrA;AP009048.1:2810082-2811255;emrA;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;fluoroquinolone;emrB;U00096.1:2812615-2814154;emrB;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;fluoroquinolone;emrR;U00096.3:2810769-2811300;emrR;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;fluoroquinolone;mdtH;U00096.1:1125326-1124117;mdtH;major facilitator superfamily (MFS) antibiotic efflux pump;biocide;;antibiotic efflux
CARD;fluoroquinolone;QnrB6;EF520349.1:0-681;QnrB6;quinolone resistant protein (qnr);;;antibiotic target protection
CARD;fluoroquinolone;QnrD1;FJ228229.1:553-1198;QnrD1;quinolone resistant protein (qnr);;;antibiotic target protection
CARD;fluoroquinolone;QnrS1;DQ485529.1:0-657;QnrS1;quinolone resistance protein (qnr);;;antibiotic target protection
CARD;folic acid synthesis inhibitors ;dfrA1;KJ541681.1:19526-20000;dfrA1;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrA12;GU585907.1:22103-21605;dfrA12;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrA14;KF921535.1:617-1091;dfrA14;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrA16;AF174129.3:1351-1825;dfrA16;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrA17;DQ838665.1:0-474;dfrA17;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrA20;AJ605332.1:1303-1813;dfrA20;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;DfrA36;NG_065842.1:100-688;dfrA37;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrA8;KJ174469.1:710-1220;dfrA8;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target alteration
CARD;folic acid synthesis inhibitors ;dfrD;U43152.1:93-582;dfrD;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrF;AF028812.1:392-887;dfrF;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrG;AB205645.1:1012-1510;dfrG;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrK;FN812951.1:0-492;dfrK;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;dfrL;CAIIKR010000012.1:2869-3451;dfrL;trimethoprim resistant dihydrofolate reductase dfr;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;RbpA;HQ203032.1:0-345;RbpA;RbpA bacterial RNA polymerase-binding protein;;;antibiotic target protection
CARD;folic acid synthesis inhibitors ;rpoB2;AP006618.1:4835199-4838688;rpoB2;rifamycin-resistant beta-subunit of RNA polymerase (rpoB);;;antibiotic target alteration
CARD;folic acid synthesis inhibitors ;sul1;JF969163.1:1053-1893;sul1;sulfomide resistant sul;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;sul2;AY055428.1:21084-20268;sul2;sulfomide resistant sul;;;antibiotic target replacement
CARD;folic acid synthesis inhibitors ;sul3;FJ196385.1:9323-8531;sul3;sulfomide resistant sul;;;antibiotic target replacement
CARD;fusidic acid;fusD;CP022056.2:166813-167455;fusD;Target protecting FusB-type protein conferring resistance to Fusidic acid;;;antibiotic target protection
CARD;fusidic acid;FusF;CP027422.1:410229-410874;FusF;Target protecting FusB-type protein conferring resistance to Fusidic acid;;;antibiotic target protection
CARD;glycopeptide;vanB;KF823969.1:5110-6139;vanB;glycopeptide resistance gene cluster ;;;"	antibiotic target alteration"
CARD;glycopeptide;vanG;DQ212986.1:5984-7034;vanG;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanH_gene_in_vanB_cluster;U35369.1:4006-4978;vanH_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanP;JAINTN010000010.1:17901-16872;vanP;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanR_gene_in_vanB_cluster;U35369.1:177-840;vanR_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanR_gene_in_vanG_cluster;DQ212986.1:2258-2966;vanR_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanR_gene_in_vanO_cluster;KF478993.1:6704-6002;vanR_in_vanO_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanS_gene_in_vanB_cluster;U35369.1:839-2183;vanS_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanS_gene_in_vanG_cluster;DQ212986.1:2979-4086;vanS_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanT_gene_in_vanG_cluster;DQ212986.1:7787-9926;vanT_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanU_gene_in_vanG_cluster;DQ212986.1:2029-2257;vanU_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanW_gene_in_vanB_cluster;U35369.1:3182-4010;vanW_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanW_gene_in_vanG_cluster;DQ212986.1:5137-5983;vanW_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanX_gene_in_vanB_cluster;U35369.1:6004-6613;vanX_gene_in_vanB_cluster;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanX_gene_in_vanP_cluster;JAINTN010000010.1:16763-16154;"	vanX_in_vanP_cl";glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanXY_gene_in_vanG_cluster;DQ212986.1:7030-7795;vanXY_in_vanG;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanY_gene_in_vanB_cluster;U35369.1:2358-3165;vanY_in_vanB_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;glycopeptide;vanY_gene_in_vanG_cluster;DQ212986.1:4222-5062;vanY_in_vanG_cl;glycopeptide resistance gene cluster ;;;antibiotic target alteration
CARD;MLS;Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin;NC_008618.1:1670624-1667063;ado_rpoB_RIF;rifamycin-resistant beta-subunit of R polymerase (rpoB);;;antibiotic target alteration
CARD;MLS;cfrE;QUDP01000003.1:17069-16034;cfrE;Cfr 23S ribosomal R methyltransferase;;;antibiotic target alteration
CARD;MLS;Clostridium_perfringes_cplR;BA000016.3:968935-967228;Cper_cplR;Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins;;;antibiotic target protection
CARD;MLS;EreD;KP265721.1:331-1558;EreD;macrolide esterase;;;antibiotic inactivation
CARD;MLS;Erm(35);AF319779.2:32-833;Erm(35);Erm 23S ribosomal RNA methyltransferase;;;antibiotic target alteration
